Tree	Tree_taxa	RefTree_taxa	Common_taxa	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	64	64	64	553.0000	1.1117	0.7721
2	64	64	64	528.0000	1.0614	0.7372
3	64	64	64	547.0000	1.0996	0.7638
4	64	64	64	553.0000	1.1117	0.7721
5	64	64	64	528.0000	1.0614	0.7372
6	64	64	64	540.0000	1.0856	0.7540
7	64	64	64	517.0000	1.0393	0.7219
8	64	64	64	516.0000	1.0373	0.7205
9	64	64	64	523.0000	1.0514	0.7303
10	64	64	64	511.0000	1.0273	0.7135
11	64	64	64	556.0000	1.1177	0.7763
12	64	64	64	532.0000	1.0695	0.7428
13	64	64	64	539.0000	1.0836	0.7526
14	64	64	64	544.0000	1.0936	0.7596
15	64	64	64	541.0000	1.0876	0.7554
16	64	64	64	552.0000	1.1097	0.7707
17	64	64	64	492.0000	0.9891	0.6870
18	64	64	64	547.0000	1.0996	0.7638
19	64	64	64	574.0000	1.1539	0.8015
20	64	64	64	545.0000	1.0956	0.7610
21	64	64	64	532.0000	1.0695	0.7428
22	64	64	64	510.0000	1.0253	0.7121
23	64	64	64	511.0000	1.0273	0.7135
24	64	64	64	551.0000	1.1077	0.7693
25	64	64	64	515.0000	1.0353	0.7191
26	64	64	64	528.0000	1.0614	0.7372
27	64	64	64	530.0000	1.0655	0.7400
28	64	64	64	538.0000	1.0816	0.7512
29	64	64	64	551.0000	1.1077	0.7693
30	64	64	64	577.0000	1.1600	0.8057
31	64	64	64	554.0000	1.1137	0.7735
32	64	64	64	588.0000	1.1821	0.8210
33	64	64	64	579.0000	1.1640	0.8084
34	64	64	64	490.0000	0.9851	0.6842
35	64	64	64	559.0000	1.1238	0.7805
36	64	64	64	502.0000	1.0092	0.7009
37	64	64	64	550.0000	1.1057	0.7680
38	64	64	64	522.0000	1.0494	0.7289
39	64	64	64	499.0000	1.0032	0.6967
40	64	64	64	542.0000	1.0896	0.7568
41	64	64	64	556.0000	1.1177	0.7763
42	64	64	64	547.0000	1.0996	0.7638
43	64	64	64	563.0000	1.1318	0.7861
44	64	64	64	510.0000	1.0253	0.7121
45	64	64	64	568.0000	1.1419	0.7931
46	64	64	64	520.0000	1.0454	0.7261
47	64	64	64	576.0000	1.1579	0.8043
48	64	64	64	523.0000	1.0514	0.7303
49	64	64	64	559.0000	1.1238	0.7805
50	64	64	64	555.0000	1.1157	0.7749
51	64	64	64	494.0000	0.9931	0.6898
52	64	64	64	563.0000	1.1318	0.7861
53	64	64	64	576.0000	1.1579	0.8043
54	64	64	64	506.0000	1.0172	0.7065
55	64	64	64	566.0000	1.1378	0.7903
56	64	64	64	547.0000	1.0996	0.7638
57	64	64	64	563.0000	1.1318	0.7861
58	64	64	64	574.0000	1.1539	0.8015
59	64	64	64	551.0000	1.1077	0.7693
60	64	64	64	558.0000	1.1218	0.7791
61	64	64	64	533.0000	1.0715	0.7442
62	64	64	64	559.0000	1.1238	0.7805
63	64	64	64	563.0000	1.1318	0.7861
64	64	64	64	486.0000	0.9770	0.6786
65	64	64	64	552.0000	1.1097	0.7707
66	64	64	64	583.0000	1.1720	0.8140
67	64	64	64	565.0000	1.1358	0.7889
68	64	64	64	515.0000	1.0353	0.7191
69	64	64	64	563.0000	1.1318	0.7861
70	64	64	64	546.0000	1.0976	0.7624
71	64	64	64	507.0000	1.0192	0.7079
72	64	64	64	557.0000	1.1197	0.7777
73	64	64	64	524.0000	1.0534	0.7316
74	64	64	64	521.0000	1.0474	0.7275
75	64	64	64	514.0000	1.0333	0.7177
76	64	64	64	532.0000	1.0695	0.7428
77	64	64	64	542.0000	1.0896	0.7568
78	64	64	64	520.0000	1.0454	0.7261
79	64	64	64	550.0000	1.1057	0.7680
80	64	64	64	534.0000	1.0735	0.7456
81	64	64	64	516.0000	1.0373	0.7205
82	64	64	64	562.0000	1.1298	0.7847
83	64	64	64	567.0000	1.1399	0.7917
84	64	64	64	584.0000	1.1740	0.8154
85	64	64	64	524.0000	1.0534	0.7316
86	64	64	64	501.0000	1.0072	0.6995
87	64	64	64	558.0000	1.1218	0.7791
88	64	64	64	519.0000	1.0434	0.7247
89	64	64	64	518.0000	1.0413	0.7233
90	64	64	64	543.0000	1.0916	0.7582
91	64	64	64	513.0000	1.0313	0.7163
92	64	64	64	531.0000	1.0675	0.7414
93	64	64	64	578.0000	1.1620	0.8070
94	64	64	64	534.0000	1.0735	0.7456
95	64	64	64	567.0000	1.1399	0.7917
