Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	64	64	64	60.5000	0.9953	0.9937
2	64	64	64	60.5000	0.9953	0.9937
3	64	64	64	60.5000	0.9953	0.9937
4	64	64	64	59.5000	0.9789	0.9773
5	64	64	64	60.5000	0.9953	0.9937
6	64	64	64	60.5000	0.9953	0.9937
7	64	64	64	60.5000	0.9953	0.9937
8	64	64	64	60.5000	0.9953	0.9937
9	64	64	64	59.5000	0.9789	0.9773
10	64	64	64	60.5000	0.9953	0.9937
11	64	64	64	60.5000	0.9953	0.9937
12	64	64	64	59.5000	0.9789	0.9773
13	64	64	64	60.5000	0.9953	0.9937
14	64	64	64	59.5000	0.9789	0.9773
15	64	64	64	59.5000	0.9789	0.9773
16	64	64	64	60.5000	0.9953	0.9937
17	64	64	64	60.5000	0.9953	0.9937
18	64	64	64	60.5000	0.9953	0.9937
19	64	64	64	59.5000	0.9789	0.9773
20	64	64	64	60.5000	0.9953	0.9937
21	64	64	64	60.5000	0.9953	0.9937
22	64	64	64	60.5000	0.9953	0.9937
23	64	64	64	60.5000	0.9953	0.9937
24	64	64	64	60.5000	0.9953	0.9937
25	64	64	64	60.5000	0.9953	0.9937
26	64	64	64	60.5000	0.9953	0.9937
27	64	64	64	59.5000	0.9789	0.9773
28	64	64	64	60.5000	0.9953	0.9937
29	64	64	64	60.5000	0.9953	0.9937
30	64	64	64	60.5000	0.9953	0.9937
31	64	64	64	60.5000	0.9953	0.9937
32	64	64	64	60.5000	0.9953	0.9937
33	64	64	64	60.5000	0.9953	0.9937
34	64	64	64	59.5000	0.9789	0.9773
35	64	64	64	60.5000	0.9953	0.9937
36	64	64	64	59.5000	0.9789	0.9773
37	64	64	64	60.5000	0.9953	0.9937
38	64	64	64	59.5000	0.9789	0.9773
39	64	64	64	60.5000	0.9953	0.9937
40	64	64	64	60.5000	0.9953	0.9937
41	64	64	64	58.5000	0.9624	0.9609
42	64	64	64	60.5000	0.9953	0.9937
43	64	64	64	59.5000	0.9789	0.9773
44	64	64	64	60.5000	0.9953	0.9937
45	64	64	64	60.5000	0.9953	0.9937
46	64	64	64	60.5000	0.9953	0.9937
47	64	64	64	60.5000	0.9953	0.9937
48	64	64	64	60.5000	0.9953	0.9937
49	64	64	64	60.5000	0.9953	0.9937
50	64	64	64	60.5000	0.9953	0.9937
51	64	64	64	60.5000	0.9953	0.9937
52	64	64	64	60.5000	0.9953	0.9937
53	64	64	64	60.5000	0.9953	0.9937
54	64	64	64	60.5000	0.9953	0.9937
55	64	64	64	60.5000	0.9953	0.9937
56	64	64	64	59.5000	0.9789	0.9773
57	64	64	64	60.5000	0.9953	0.9937
58	64	64	64	60.5000	0.9953	0.9937
59	64	64	64	60.5000	0.9953	0.9937
60	64	64	64	60.5000	0.9953	0.9937
61	64	64	64	60.5000	0.9953	0.9937
62	64	64	64	60.5000	0.9953	0.9937
63	64	64	64	60.5000	0.9953	0.9937
64	64	64	64	59.5000	0.9789	0.9773
65	64	64	64	60.5000	0.9953	0.9937
66	64	64	64	60.5000	0.9953	0.9937
67	64	64	64	59.5000	0.9789	0.9773
68	64	64	64	60.5000	0.9953	0.9937
69	64	64	64	59.5000	0.9789	0.9773
70	64	64	64	60.5000	0.9953	0.9937
71	64	64	64	60.5000	0.9953	0.9937
72	64	64	64	60.5000	0.9953	0.9937
73	64	64	64	60.5000	0.9953	0.9937
74	64	64	64	60.5000	0.9953	0.9937
75	64	64	64	60.5000	0.9953	0.9937
76	64	64	64	59.5000	0.9789	0.9773
77	64	64	64	60.5000	0.9953	0.9937
78	64	64	64	60.5000	0.9953	0.9937
79	64	64	64	59.5000	0.9789	0.9773
80	64	64	64	60.5000	0.9953	0.9937
81	64	64	64	60.5000	0.9953	0.9937
82	64	64	64	60.5000	0.9953	0.9937
83	64	64	64	58.5000	0.9624	0.9609
84	64	64	64	60.5000	0.9953	0.9937
85	64	64	64	60.5000	0.9953	0.9937
86	64	64	64	59.5000	0.9789	0.9773
87	64	64	64	60.5000	0.9953	0.9937
88	64	64	64	60.5000	0.9953	0.9937
89	64	64	64	60.5000	0.9953	0.9937
90	64	64	64	59.5000	0.9789	0.9773
91	64	64	64	60.5000	0.9953	0.9937
92	64	64	64	60.5000	0.9953	0.9937
93	64	64	64	60.5000	0.9953	0.9937
94	64	64	64	59.5000	0.9789	0.9773
95	64	64	64	60.5000	0.9953	0.9937
96	64	64	64	60.5000	0.9953	0.9937
97	64	64	64	60.5000	0.9953	0.9937
98	64	64	64	60.5000	0.9953	0.9937
99	64	64	64	60.5000	0.9953	0.9937
100	64	64	64	60.5000	0.9953	0.9937
101	64	64	64	60.5000	0.9953	0.9937
102	64	64	64	60.5000	0.9953	0.9937
103	64	64	64	60.5000	0.9953	0.9937
104	64	64	64	60.5000	0.9953	0.9937
105	64	64	64	60.5000	0.9953	0.9937
106	64	64	64	60.5000	0.9953	0.9937
107	64	64	64	60.5000	0.9953	0.9937
108	64	64	64	60.5000	0.9953	0.9937
109	64	64	64	59.5000	0.9789	0.9773
110	64	64	64	60.5000	0.9953	0.9937
111	64	64	64	60.5000	0.9953	0.9937
112	64	64	64	59.5000	0.9789	0.9773
113	64	64	64	60.5000	0.9953	0.9937
114	64	64	64	60.5000	0.9953	0.9937
115	64	64	64	60.5000	0.9953	0.9937
116	64	64	64	60.5000	0.9953	0.9937
117	64	64	64	60.5000	0.9953	0.9937
118	64	64	64	60.5000	0.9953	0.9937
119	64	64	64	60.5000	0.9953	0.9937
120	64	64	64	60.5000	0.9953	0.9937
121	64	64	64	59.5000	0.9789	0.9773
122	64	64	64	60.5000	0.9953	0.9937
123	64	64	64	60.5000	0.9953	0.9937
124	64	64	64	60.5000	0.9953	0.9937
125	64	64	64	59.5000	0.9789	0.9773
126	64	64	64	60.5000	0.9953	0.9937
127	64	64	64	59.5000	0.9789	0.9773
128	64	64	64	59.5000	0.9789	0.9773
129	64	64	64	59.5000	0.9789	0.9773
130	64	64	64	60.5000	0.9953	0.9937
131	64	64	64	60.5000	0.9953	0.9937
132	64	64	64	60.5000	0.9953	0.9937
133	64	64	64	60.5000	0.9953	0.9937
134	64	64	64	60.5000	0.9953	0.9937
135	64	64	64	59.5000	0.9789	0.9773
136	64	64	64	60.5000	0.9953	0.9937
137	64	64	64	58.5000	0.9624	0.9609
138	64	64	64	60.5000	0.9953	0.9937
139	64	64	64	60.5000	0.9953	0.9937
140	64	64	64	59.5000	0.9789	0.9773
141	64	64	64	60.5000	0.9953	0.9937
142	64	64	64	59.5000	0.9789	0.9773
143	64	64	64	60.5000	0.9953	0.9937
144	64	64	64	60.5000	0.9953	0.9937
145	64	64	64	60.5000	0.9953	0.9937
146	64	64	64	60.5000	0.9953	0.9937
147	64	64	64	60.5000	0.9953	0.9937
148	64	64	64	60.5000	0.9953	0.9937
149	64	64	64	59.5000	0.9789	0.9773
150	64	64	64	60.5000	0.9953	0.9937
151	64	64	64	59.5000	0.9789	0.9773
152	64	64	64	59.5000	0.9789	0.9773
153	64	64	64	60.5000	0.9953	0.9937
154	64	64	64	60.5000	0.9953	0.9937
155	64	64	64	60.5000	0.9953	0.9937
156	64	64	64	59.5000	0.9789	0.9773
157	64	64	64	60.5000	0.9953	0.9937
158	64	64	64	60.5000	0.9953	0.9937
159	64	64	64	60.5000	0.9953	0.9937
160	64	64	64	60.5000	0.9953	0.9937
161	64	64	64	60.5000	0.9953	0.9937
162	64	64	64	60.5000	0.9953	0.9937
163	64	64	64	60.5000	0.9953	0.9937
164	64	64	64	60.5000	0.9953	0.9937
165	64	64	64	60.5000	0.9953	0.9937
166	64	64	64	60.5000	0.9953	0.9937
167	64	64	64	60.5000	0.9953	0.9937
168	64	64	64	60.5000	0.9953	0.9937
169	64	64	64	59.5000	0.9789	0.9773
170	64	64	64	59.5000	0.9789	0.9773
171	64	64	64	59.5000	0.9789	0.9773
172	64	64	64	60.5000	0.9953	0.9937
173	64	64	64	60.5000	0.9953	0.9937
174	64	64	64	60.5000	0.9953	0.9937
175	64	64	64	59.5000	0.9789	0.9773
176	64	64	64	60.5000	0.9953	0.9937
177	64	64	64	59.5000	0.9789	0.9773
178	64	64	64	59.5000	0.9789	0.9773
179	64	64	64	60.5000	0.9953	0.9937
180	64	64	64	59.5000	0.9789	0.9773
181	64	64	64	60.5000	0.9953	0.9937
182	64	64	64	60.5000	0.9953	0.9937
183	64	64	64	60.5000	0.9953	0.9937
184	64	64	64	60.5000	0.9953	0.9937
185	64	64	64	60.5000	0.9953	0.9937
186	64	64	64	60.5000	0.9953	0.9937
187	64	64	64	60.5000	0.9953	0.9937
188	64	64	64	60.5000	0.9953	0.9937
189	64	64	64	59.5000	0.9789	0.9773
190	64	64	64	60.5000	0.9953	0.9937
191	64	64	64	60.5000	0.9953	0.9937
192	64	64	64	60.5000	0.9953	0.9937
193	64	64	64	59.5000	0.9789	0.9773
194	64	64	64	59.5000	0.9789	0.9773
195	64	64	64	60.5000	0.9953	0.9937
196	64	64	64	60.5000	0.9953	0.9937
197	64	64	64	60.5000	0.9953	0.9937
198	64	64	64	59.5000	0.9789	0.9773
199	64	64	64	60.5000	0.9953	0.9937
200	64	64	64	60.5000	0.9953	0.9937
201	64	64	64	60.5000	0.9953	0.9937
202	64	64	64	60.5000	0.9953	0.9937
203	64	64	64	60.5000	0.9953	0.9937
204	64	64	64	60.5000	0.9953	0.9937
205	64	64	64	59.5000	0.9789	0.9773
206	64	64	64	60.5000	0.9953	0.9937
207	64	64	64	59.5000	0.9789	0.9773
208	64	64	64	59.5000	0.9789	0.9773
209	64	64	64	60.5000	0.9953	0.9937
210	64	64	64	60.5000	0.9953	0.9937
211	64	64	64	60.5000	0.9953	0.9937
212	64	64	64	60.5000	0.9953	0.9937
213	64	64	64	60.5000	0.9953	0.9937
214	64	64	64	60.5000	0.9953	0.9937
215	64	64	64	60.5000	0.9953	0.9937
216	64	64	64	60.5000	0.9953	0.9937
217	64	64	64	60.5000	0.9953	0.9937
218	64	64	64	60.5000	0.9953	0.9937
219	64	64	64	59.5000	0.9789	0.9773
