	Actinomarinales1	Alpha1	Alpha10	Alpha12	Alpha13	Alpha14	Alpha15	Alpha16	Alpha2	Alpha3	Alpha4	Alpha5	Alpha6	Alpha7	Alpha8	Alpha9	Delta1	Delta11	Delta12	Delta13	Delta14	Delta2	Delta3	Delta4	Delta5	Gamma1	Gamma2	Gamma3	Gamma4	Gamma5	Gamma7	Marinimicrobia1	Spiro1
2699_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160981	0	0	0	0	0	0.641218	0	0.105136	0	0	0	0	0.092665
2699_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046845	0	0	0.104203	0	0	0	0	0	0.782357	0	0.066595	0	0	0	0	0
3557_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074949	0	0	0.890965	0	0	0	0	0	0	0.034086
3557_AA	0	0	0.23962870789266	0	0	0.061080473641603	0	0	0	0.17918566706794	0.16457574693217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35552940446563	0	0	0	0	0	0	0
3557_AB	0	0	0.431164	0.108244	0	0	0	0	0	0	0	0	0	0	0	0	0.029427	0	0	0	0	0	0	0	0	0.431165	0	0	0	0	0	0	0
3557_AC	0	0	0.316886	0.159249	0	0	0	0	0	0	0	0	0	0	0	0	0.253506	0	0	0	0	0	0	0	0	0.270359	0	0	0	0	0	0	0
3557_AD	0	0	0.32785646202658	0	0	0	0	0	0	0	0	0.1404679144249	0	0.10322539298891	0	0	0.029307975337803	0	0	0	0	0	0	0	0	0.3991422552218	0	0	0	0	0	0	0
3557_AE	0	0	0.450912	0.103131	0	0	0	0	0	0.021241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424716	0	0	0	0	0	0	0
3557_AF	0	0.091218091963675	0.23386870762472	0	0	0	0	0	0	0.092522068722642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58239113168896	0	0	0	0	0	0	0
3557_AG	0	0	0.093265980797121	0.083019974557636	0	0	0	0	0	0.13741578847807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68629825616717	0	0	0	0	0	0	0
3557_AH	0	0	0.126154	0.255548	0	0	0	0	0	0.049833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568465	0	0	0	0	0	0	0
3557_AI	0	0.082197	0.141278	0.124082	0	0	0	0	0	0	0	0	0	0	0	0	0.039094	0	0	0	0	0	0	0	0	0.613349	0	0	0	0	0	0	0
3557_AJ	0	0.045337	0.044748	0.351924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557991	0	0	0	0	0	0	0
3557_AK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22709025936788	0	0	0.77290974063212	0	0	0	0	0	0	0
3557_AL	0	0	0	0.38999761000239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16318983681016	0	0.44681255318745	0	0	0	0	0	0	0
3557_AN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162677	0	0	0.837323	0	0	0	0	0	0	0
3557_AO	0	0	0.16794316794317	0	0	0	0	0	0	0.15965815965816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67239867239867	0	0	0	0	0	0	0
3557_AQ	0	0	0.294919	0.160793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070993	0	0	0.473295	0	0	0	0	0	0	0
3557_AR	0	0	0	0.40522742098778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10765700149876	0	0	0.48711557751346	0	0	0	0	0	0	0
3557_AS	0	0	0.030338	0.186079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08217	0	0	0.701413	0	0	0	0	0	0	0
3557_AT	0	0.037360074720149	0.2742105484211	0.057173114346229	0	0.019056038112076	0	0	0	0.16722733445467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44497288994578	0	0	0	0	0	0	0
3557_AU	0	0	0.256244	0.178087	0	0	0	0	0	0.175807	0	0.106286	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283576	0	0	0	0	0	0	0
3557_AV	0	0	0.373153	0.256026	0	0	0	0	0	0	0	0.032914	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337907	0	0	0	0	0	0	0
3557_AW	0	0.054636	0.519752	0.106771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061358	0	0	0.257483	0	0	0	0	0	0	0
3557_AX	0	0	0.23035723035723	0.29215329215329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47748947748948	0	0	0	0	0	0	0
3557_AY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233156	0	0	0.766844	0	0	0	0	0	0	0
3557_AZ	0	0	0.62670468854819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37329531145181	0	0	0	0	0	0	0
3557_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.812963	0	0	0	0	0	0	0.187037
3557_BA	0	0	0.534866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.465134	0	0	0	0	0	0	0
3557_BB	0	0	0.201918	0.108311	0	0	0	0	0	0.091011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59876	0	0	0	0	0	0	0
3557_BC	0	0	0	0	0	0	0	0	0	0.620573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379427	0	0	0	0	0	0	0
3557_BD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253403	0	0	0.746597	0	0	0	0	0	0	0
3557_BE	0	0	0.17063117063117	0.084675084675085	0	0	0	0	0	0.11582511582512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62886862886863	0	0	0	0	0	0	0
