lib;also_sequenced_as;sampled_id;seq_lib;seq_proj;seq_lib_2;seq_proj_2;host_species;ocean;continent;country;island_city;bay_spot;sampling_spot;latitude;longitude;sampling_year;sampling_month;organic_input;biochemistry;water_zone;sediment_size;sediment_type;sediment_structure;other;water_depth;seq_center
2699_C;a_unknown;Mallorca_2016_044a;2699_C;2699;a_unknown;a_unknown;Oalgarvensis;Mediterranean;Europe;Spain;Mallorca;Magalluf;a_unknown;39.503917;2.543103;2016;May;seagrass;a_unknown;a_unknown;a_unknown;a_unknown;a_unknown;a_unknown;a_unknown;Cologne
2699_D;a_unknown;Mallorca_2016_045;2699_D;2699;a_unknown;a_unknown;Oalgarvensis;Mediterranean;Europe;Spain;Mallorca;Magalluf;a_unknown;39.503917;2.543103;2016;May;seagrass;a_unknown;a_unknown;a_unknown;a_unknown;a_unknown;a_unknown;a_unknown;Cologne
3557_A;a_unknown;CBC2017_0062;3557_A;3557;a_unknown;a_unknown;Ospbelize1;Atlantic;CentralAmerica;Belize;TwinCays;Fisherysbeach;a_unknown;16.82356;-88.10617;2017;April;seagrass;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-1.5;Cologne
3557_AA;a_unknown;CBC2017_1444;3557_AA;3557;a_unknown;a_unknown;IspFANT;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.790105;-88.08201;2017;April;corals;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-2;Cologne
3557_AB;a_unknown;CBC2017_1483;3557_AB;3557;a_unknown;a_unknown;Iscalprum;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.790105;-88.08201;2017;April;corals;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-2;Cologne
3557_AC;a_unknown;CBC2017_1438;3557_AC;3557;a_unknown;a_unknown;Iscalprum;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.790105;-88.08201;2017;April;corals;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-2;Cologne
3557_AD;a_unknown;CBC2017_1423;3557_AD;3557;a_unknown;a_unknown;IspULE;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.790105;-88.08201;2017;April;corals;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-2;Cologne
3557_AE;a_unknown;CBC2017_1111;3557_AE;3557;a_unknown;a_unknown;Ireginae;Atlantic;CentralAmerica;Belize;TwinCays;Fisherysbeach;a_unknown;16.82356;-88.10617;2017;April;seagrass;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-1.5;Cologne
3557_AH;a_unknown;CBC2017_1087;3557_AH;3557;a_unknown;a_unknown;Ireginae;Atlantic;CentralAmerica;Belize;TwinCays;Fisherysbeach;a_unknown;16.82356;-88.10617;2017;April;seagrass;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-1;Cologne
3557_AL;a_unknown;CBC2017_0995;3557_AL;3557;a_unknown;a_unknown;Ofinitimus;Atlantic;CentralAmerica;Belize;TwinCays;a_unknown;a_unknown;16.8236;-88.105925;2017;March;seagrass;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-1.5;Cologne
3557_AN;a_unknown;CBC2017_1283;3557_AN;3557;a_unknown;a_unknown;Otantulus;Atlantic;CentralAmerica;Belize;TwinCays;Fisherysbeach;a_unknown;16.8236;-88.1061;2017;April;seagrass;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-1.5;Cologne
3557_AO;a_unknown;CBC2017_1128;3557_AO;3557;a_unknown;a_unknown;Ireginae;Atlantic;CentralAmerica;Belize;TwinCays;Fisherysbeach;a_unknown;16.82356;-88.10617;2017;April;seagrass;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-1.5;Cologne
3557_AQ;a_unknown;CBC2017_1431;3557_AQ;3557;a_unknown;a_unknown;Iaduncosetis;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.790105;-88.08201;2017;April;corals;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-2;Cologne
3557_AR;a_unknown;CBC2017_1428;3557_AR;3557;a_unknown;a_unknown;Iaduncosetis;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.790105;-88.08201;2017;April;corals;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-2;Cologne
3557_AS;a_unknown;CBC2017_1479;3557_AS;3557;a_unknown;a_unknown;Iaduncosetis;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.790105;-88.08201;2017;April;corals;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-2;Cologne
3557_AT;a_unknown;CBC2017_1518;3557_AT;3557;a_unknown;a_unknown;Ileukodermatus;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.79;-88.0826;2017;April;a_unknown;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-1.5;Cologne
3557_AU;a_unknown;CBC2017_1534;3557_AU;3557;a_unknown;a_unknown;IspNYSP;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.79;-88.0826;2017;April;a_unknown;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-1.5;Cologne
3557_AV;a_unknown;CBC2017_1512;3557_AV;3557;a_unknown;a_unknown;IspNYSP;Atlantic;CentralAmerica;Belize;CurlewCay;a_unknown;a_unknown;16.790105;-88.08201;2017;April;corals;a_unknown;a_unknown;a_unknown;sand;a_unknown;a_unknown;-2;Cologne
